Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:43.363613,439.3,-89
2025-11-23T16:15:43.368604,439.4,-88
2025-11-23T16:15:43.373658,439.5,-90
2025-11-23T16:15:43.378583,439.6,-91
2025-11-23T16:15:43.383601,439.7,-89
2025-11-23T16:15:43.388607,439.8,-91
2025-11-23T16:15:43.393602,439.9,-84
2025-11-23T16:15:43.398581,440.0,-85
2025-11-23T16:15:43.903647,430.0,-87
2025-11-23T16:15:43.908610,430.1,-87
2025-11-23T16:15:43.913590,430.2,-87
2025-11-23T16:15:43.918618,430.3,-84
2025-11-23T16:15:43.923598,430.4,-85
2025-11-23T16:15:43.928600,430.5,-84
2025-11-23T16:15:43.933632,430.6,-90
2025-11-23T16:15:43.938625,430.7,-85
2025-11-23T16:15:43.943639,430.8,-86
2025-11-23T16:15:43.948618,430.9,-90
2025-11-23T16:15:43.953654,431.0,-90
2025-11-23T16:15:43.958646,431.1,-88
2025-11-23T16:15:43.963614,431.2,-89
2025-11-23T16:15:43.968701,431.3,-88
2025-11-23T16:15:43.973622,431.4,-93
2025-11-23T16:15:43.978590,431.5,-90
2025-11-23T16:15:43.983661,431.6,-89
2025-11-23T16:15:43.988641,431.7,-85
2025-11-23T16:15:43.993613,431.8,-91
2025-11-23T16:15:43.998584,431.9,-89
2025-11-23T16:15:44.003626,432.0,-88
2025-11-23T16:15:44.008625,432.1,-86
2025-11-23T16:15:44.013607,432.2,-87
2025-11-23T16:15:44.018634,432.3,-88
2025-11-23T16:15:44.023629,432.4,-85
2025-11-23T16:15:44.028610,432.5,-87
2025-11-23T16:15:44.033586,432.6,-88
2025-11-23T16:15:44.038646,432.7,-84
2025-11-23T16:15:44.043610,432.8,-86
2025-11-23T16:15:44.048611,432.9,-87
2025-11-23T16:15:44.053614,433.0,-86
2025-11-23T16:15:44.058609,433.1,-84
2025-11-23T16:15:44.063591,433.2,-87
2025-11-23T16:15:44.068609,433.3,-87
2025-11-23T16:15:44.073604,433.4,-89
2025-11-23T16:15:44.078606,433.5,-92
2025-11-23T16:15:44.083628,433.6,-91
2025-11-23T16:15:44.088715,433.7,-88
2025-11-23T16:15:44.093626,433.8,-90
2025-11-23T16:15:44.098662,433.9,-89
2025-11-23T16:15:44.103655,434.0,-89
2025-11-23T16:15:44.108608,434.1,-92
2025-11-23T16:15:44.113624,434.2,-91
2025-11-23T16:15:44.118647,434.3,-88
2025-11-23T16:15:44.123628,434.4,-92
2025-11-23T16:15:44.128589,434.5,-91
2025-11-23T16:15:44.133608,434.6,-90
2025-11-23T16:15:44.138612,434.7,-87
2025-11-23T16:15:44.143652,434.8,-86
2025-11-23T16:15:44.148628,434.9,-91
2025-11-23T16:15:44.154458,435.0,-92
2025-11-23T16:15:44.160429,435.1,-91
2025-11-23T16:15:44.164723,435.2,-89
2025-11-23T16:15:44.168865,435.3,-88
2025-11-23T16:15:44.173668,435.4,-90
2025-11-23T16:15:44.178673,435.5,-88
2025-11-23T16:15:44.183608,435.6,-88
2025-11-23T16:15:44.188652,435.7,-92
2025-11-23T16:15:44.193606,435.8,-87
2025-11-23T16:15:44.198617,435.9,-89
2025-11-23T16:15:44.203650,436.0,-89
2025-11-23T16:15:44.208612,436.1,-88
2025-11-23T16:15:44.213584,436.2,-89
2025-11-23T16:15:44.218615,436.3,-87
2025-11-23T16:15:44.223599,436.4,-91
2025-11-23T16:15:44.228604,436.5,-87
2025-11-23T16:15:44.233695,436.6,-89
2025-11-23T16:15:44.238707,436.7,-90
2025-11-23T16:15:44.243623,436.8,-90
2025-11-23T16:15:44.248607,436.9,-90
2025-11-23T16:15:44.253691,437.0,-90
2025-11-23T16:15:44.258594,437.1,-89
2025-11-23T16:15:44.263627,437.2,-90
2025-11-23T16:15:44.268622,437.3,-86
2025-11-23T16:15:44.273616,437.4,-91
